N,a_true,v_true,t_true,a_est,v_est,t_est,bias_a,bias_v,bias_t,se_a,se_v,se_t
10,1.6641429470049658,1.1214875256581465,0.37056201457621973,0.28037211258254535,7.836815712865619,0.9109266918213231,-1.3837708344224204,6.715328187207472,0.5403646772451034,1.9148217221981216,45.095632661903196,0.29199398441420477
10,0.6855944617126658,1.0116728183811852,0.47382088726376514,0.17106888209245324,4.9529630989772055,0.5999619531125556,-0.5145255796202126,3.9412902805960206,0.12614106584879048,0.26473657208351575,15.53376907592066,0.015911568493468895
10,1.0883258505695739,0.6032347640351026,0.35483405610599694,,0.0,,,-0.6032347640351026,,,0.3638921805404859,
10,1.848254612031213,1.8616502346659047,0.10555460975933398,0.24516305822459192,8.962298778812588,0.4827387257559938,-1.6030915538066213,7.100648544146684,0.3771841159966598,2.5699025298861273,50.41920974749242,0.14226785736018172
10,1.2300240464808603,1.1388766852119203,0.16766880849970922,0.2100635580208203,6.599404362095443,0.5636709789094058,-1.01996048846004,5.4605276768835225,0.39600217040969654,1.0403193980196432,29.81736251001096,0.15681771896919033
10,1.4578198310846473,1.6974296001793954,0.42731079669011274,0.13097247087415514,10.584624019591958,0.8158347131030423,-1.3268473602104922,8.887194419412562,0.3885239164129296,1.7605239172975518,78.98222464843779,0.1509508336248411
10,1.0867170638560033,0.6238130168591367,0.3864441297269269,0.3521522195359118,2.406055715064995,0.65722961652437,-0.7345648443200915,1.7822426982058583,0.2707854867974431,0.5395855105110002,3.176389035308098,0.07332477986012821
10,1.0079472879811158,1.0311312947214812,0.4260824616107295,0.49738752423898963,0.8151895420548232,0.5776780116371826,-0.5105597637421262,-0.21594175266665805,0.15159555002645309,0.2606712723524157,0.04663084054474812,0.02298121078782284
10,1.2507329052096576,0.6383088448690732,0.21852838496258467,0.6989084968753919,0.5801404760721551,0.43548814823232146,-0.5518244083342657,-0.05816836879691811,0.2169597632697368,0.30451017763346244,0.003383559128494277,0.04707153887806023
10,0.886442478016708,1.800600738229408,0.355138965714351,0.05856559720386483,37.51732556722262,0.5806202101399556,-0.8278768808128432,35.716724828993215,0.22548124442560458,0.6853801297844025,1275.6844325100203,0.05084179158771923
10,1.8674457322233025,0.9262952834125533,0.25105596965287624,0.6178999759703232,1.3712540756400642,0.8238644471331553,-1.2495457562529793,0.4449587922275109,0.5728084774802791,1.5613645969698298,0.19798832678056522,0.3281095518732754
10,0.8677840827479204,1.2639457299815993,0.4849475450379561,0.16474501530154306,5.143086477222642,0.5713996612587187,-0.7030390674463773,3.879140747241043,0.08645211622076254,0.4942639303558719,15.047732936905795,0.007473968399048234
10,0.5086240788687144,0.5552076346972015,0.2602630818485541,0.062422164120681016,13.573670062914179,0.316026149339766,-0.4462019147480334,13.018462428216978,0.055763067491211904,0.19909614872481127,169.4803639948971,0.003109519696029454
10,0.6949456712433371,0.8629813238022539,0.3470377028503158,0.06801602461120226,20.381878668215602,0.4979807608022287,-0.6269296466321348,19.518897344413347,0.15094305795191287,0.39304078182629343,380.9873535417464,0.022783806743874528
10,0.9851643137574938,0.927696436093215,0.1414822659235453,0.13921063827850996,15.783453078782461,0.4344847510016394,-0.8459536754789838,14.855756642689247,0.2930024850780941,0.7156376210564018,220.6935054268057,0.08585045626193877
10,0.9374521188780056,1.6144015250906194,0.32638805018259287,0.18699494471700254,4.53112709367358,0.4402757096666818,-0.7504571741610031,2.9167255685829603,0.11388765948408891,0.5631859702497182,8.507288042425593,0.012970398982763786
10,1.3581369312579885,1.1073753860227893,0.3752735801062532,0.2747438165249212,5.045770924544699,0.7527493761800169,-1.0833931147330673,3.9383955385219096,0.3774757960737637,1.1737406410510172,15.510959417849282,0.14248797662152163
10,1.761992459444395,1.2013033120256074,0.420697409274701,0.38600116727773015,5.692274437489727,1.1919545502252753,-1.3759912921666648,4.49097112546412,0.7712571409505743,1.893352036118488,20.168821649752466,0.5948375774672541
10,1.0208306086990855,0.5491156554676782,0.3676847283331274,0.27774011546119554,4.991336447087987,0.5639601586520859,-0.7430904932378899,4.442220791620309,0.19627543031895855,0.5521834811405305,19.73332556150376,0.03852404454689236
10,1.1613076869697616,1.5989447931136347,0.43764145313288516,0.18439479222230123,11.915871109241017,0.6009354942287238,-0.9769128947474603,10.316926316127383,0.16329404109583867,0.9543588039238625,106.43896861240172,0.02666494385740945
10,0.5351475978525819,1.1842719920152762,0.37105560469301613,,0.0,,,-1.1842719920152762,,,1.4025001510718305,
10,1.13788771283405,1.2864397538262486,0.22254297040194937,0.3059873751170609,2.7690615015180104,0.49999345808990314,-0.8319003377169891,1.4826217476917618,0.2774504876879538,0.6920581718936406,2.198167246728574,0.07697877311828338
10,0.5661374699537578,1.2310828367874342,0.2636006140911602,0.055662683791789,24.90527345582981,0.3164636920209853,-0.5104747861619688,23.674190619042378,0.052863077929825086,0.2605845073071078,560.4673014667541,0.00279450500821476
10,0.688965160796081,0.9115981190271022,0.1739121836097866,0.1080648034034243,7.840645924502323,0.2731682996385266,-0.5809003573926568,6.9290478054752205,0.09925611602874002,0.33744522521891634,48.01170349056097,0.0098517765691107
10,0.5322363370090184,1.4776634090934377,0.12120181025686186,,0.0,,,-1.4776634090934377,,,2.1834891505736405,
10,1.3795181291036824,1.458260761785146,0.35289394260544615,0.31653022094359623,6.9415949313975664,0.62771202262186,-1.0629879081600861,5.48333416961242,0.27481808001641383,1.1299432928945556,30.06695361563913,0.07552497710390804
